,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Debtor status
761,"less, than 0 DM",18,critical account/other credits existing (not at this bank),furniture/equipment,2124,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,4,real estate,24,none,rent,2,skilled employee/official,1,none,yes,bad
762,"less, than 0 DM",12,existing credits paid back duly till now,radio/television,2214,"less, than 100 DM",between 1 & 4 years,4,male & single,none,3,building society savings agreement/life insurance,24,none,own,1,unskilled & resident,1,none,yes,good
763,no checking account,21,critical account/other credits existing (not at this bank),car (new),12680,unknown/no savings account,"more, than 7 years",4,male & single,none,4,unknown/no property,30,none,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
764,no checking account,24,critical account/other credits existing (not at this bank),car (new),2463,between 100 & 500 DM,between 4 & 7 years,4,male & married/widowed,none,3,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
765,between 0 & 200 DM,12,existing credits paid back duly till now,radio/television,1155,"less, than 100 DM","more, than 7 years",3,male & married/widowed,guarantor,3,real estate,40,bank,own,2,unskilled & resident,1,none,yes,good
766,"less, than 0 DM",30,existing credits paid back duly till now,furniture/equipment,3108,"less, than 100 DM","less, than 1 year",2,male & divorced/separated,none,4,building society savings agreement/life insurance,31,none,own,1,unskilled & resident,1,none,yes,bad
767,no checking account,10,existing credits paid back duly till now,car (used),2901,unknown/no savings account,"less, than 1 year",1,female & divorced/separated/married,none,4,real estate,31,none,rent,1,skilled employee/official,1,none,yes,good
768,between 0 & 200 DM,12,critical account/other credits existing (not at this bank),furniture/equipment,3617,"less, than 100 DM","more, than 7 years",1,male & single,none,4,"car or other, not in attribute 6",28,none,rent,3,skilled employee/official,1,"yes, registered under the customers name",yes,good
769,no checking account,12,critical account/other credits existing (not at this bank),radio/television,1655,"less, than 100 DM","more, than 7 years",2,male & single,none,4,real estate,63,none,own,2,unskilled & resident,1,"yes, registered under the customers name",yes,good
770,"less, than 0 DM",24,existing credits paid back duly till now,car (used),2812,unknown/no savings account,"more, than 7 years",2,female & divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee/official,1,none,yes,good
771,"less, than 0 DM",36,critical account/other credits existing (not at this bank),education,8065,"less, than 100 DM",between 1 & 4 years,3,female & divorced/separated/married,none,2,unknown/no property,25,none,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
772,no checking account,21,critical account/other credits existing (not at this bank),car (used),3275,"less, than 100 DM","more, than 7 years",1,male & single,none,4,"car or other, not in attribute 6",36,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
773,no checking account,24,critical account/other credits existing (not at this bank),radio/television,2223,between 100 & 500 DM,"more, than 7 years",4,male & single,none,4,building society savings agreement/life insurance,52,bank,own,2,skilled employee/official,1,none,yes,good
774,"more, than 200 DM",12,critical account/other credits existing (not at this bank),car (new),1480,between 500 & 1000 DM,unemployed,2,male & single,none,4,unknown/no property,66,bank,for free,3,unemployed/unskilled & non-resident,1,none,yes,good
775,"less, than 0 DM",24,existing credits paid back duly till now,car (new),1371,unknown/no savings account,between 1 & 4 years,4,female & divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee/official,1,none,yes,bad
776,no checking account,36,critical account/other credits existing (not at this bank),car (new),3535,"less, than 100 DM",between 4 & 7 years,4,male & single,none,4,"car or other, not in attribute 6",37,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
777,"less, than 0 DM",18,existing credits paid back duly till now,radio/television,3509,"less, than 100 DM",between 4 & 7 years,4,female & divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee/official,1,none,yes,good
778,no checking account,36,critical account/other credits existing (not at this bank),car (used),5711,"more, than 1000 DM","more, than 7 years",4,male & single,none,2,"car or other, not in attribute 6",38,none,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
779,between 0 & 200 DM,18,existing credits paid back duly till now,repairs,3872,"less, than 100 DM",unemployed,2,female & divorced/separated/married,none,4,"car or other, not in attribute 6",67,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
780,between 0 & 200 DM,39,critical account/other credits existing (not at this bank),radio/television,4933,"less, than 100 DM",between 4 & 7 years,2,male & single,guarantor,2,real estate,25,none,own,2,skilled employee/official,1,none,yes,bad
781,no checking account,24,critical account/other credits existing (not at this bank),car (new),1940,"more, than 1000 DM","more, than 7 years",4,male & single,none,4,real estate,60,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
782,between 0 & 200 DM,12,no credits taken/all credits paid back duly,retraining,1410,"less, than 100 DM",between 1 & 4 years,2,male & single,none,2,real estate,31,none,own,1,unskilled & resident,1,"yes, registered under the customers name",yes,good
783,between 0 & 200 DM,12,existing credits paid back duly till now,car (new),836,between 100 & 500 DM,"less, than 1 year",4,female & divorced/separated/married,none,2,building society savings agreement/life insurance,23,bank,own,1,unskilled & resident,1,none,yes,bad
784,between 0 & 200 DM,20,existing credits paid back duly till now,car (used),6468,unknown/no savings account,unemployed,1,male & divorced/separated,none,4,real estate,60,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
785,between 0 & 200 DM,18,existing credits paid back duly till now,business,1941,"more, than 1000 DM",between 1 & 4 years,4,male & single,none,2,building society savings agreement/life insurance,35,none,own,1,unskilled & resident,1,"yes, registered under the customers name",yes,good
786,no checking account,22,existing credits paid back duly till now,radio/television,2675,between 500 & 1000 DM,"more, than 7 years",3,male & single,none,4,"car or other, not in attribute 6",40,none,own,1,skilled employee/official,1,none,yes,good
787,no checking account,48,critical account/other credits existing (not at this bank),car (used),2751,unknown/no savings account,"more, than 7 years",4,male & single,none,3,"car or other, not in attribute 6",38,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,good
788,between 0 & 200 DM,48,delay in paying off in the past,education,6224,"less, than 100 DM","more, than 7 years",4,male & single,none,4,unknown/no property,50,none,for free,1,skilled employee/official,1,none,yes,bad
789,"less, than 0 DM",40,critical account/other credits existing (not at this bank),education,5998,"less, than 100 DM",between 1 & 4 years,4,male & single,none,3,unknown/no property,27,bank,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
790,between 0 & 200 DM,21,existing credits paid back duly till now,business,1188,"less, than 100 DM","more, than 7 years",2,female & divorced/separated/married,none,4,building society savings agreement/life insurance,39,none,own,1,skilled employee/official,2,none,yes,bad
791,no checking account,24,existing credits paid back duly till now,car (used),6313,unknown/no savings account,"more, than 7 years",3,male & single,none,4,"car or other, not in attribute 6",41,none,own,1,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,good
792,no checking account,6,critical account/other credits existing (not at this bank),furniture/equipment,1221,unknown/no savings account,between 1 & 4 years,1,male & married/widowed,none,2,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,none,yes,good
793,"more, than 200 DM",24,existing credits paid back duly till now,furniture/equipment,2892,"less, than 100 DM","more, than 7 years",3,male & divorced/separated,none,4,unknown/no property,51,none,for free,1,skilled employee/official,1,none,yes,good
794,no checking account,24,existing credits paid back duly till now,furniture/equipment,3062,between 500 & 1000 DM,"more, than 7 years",4,male & single,none,3,unknown/no property,32,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
795,no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,between 100 & 500 DM,"less, than 1 year",2,female & divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,rent,1,skilled employee/official,1,none,yes,good
796,"less, than 0 DM",18,existing credits paid back duly till now,car (used),7511,unknown/no savings account,"more, than 7 years",1,male & single,none,4,building society savings agreement/life insurance,51,none,for free,1,skilled employee/official,2,"yes, registered under the customers name",yes,bad
797,no checking account,12,critical account/other credits existing (not at this bank),furniture/equipment,1258,"less, than 100 DM","less, than 1 year",2,female & divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,rent,2,unskilled & resident,1,none,yes,good
798,no checking account,24,delay in paying off in the past,car (new),717,unknown/no savings account,"more, than 7 years",4,male & married/widowed,none,4,"car or other, not in attribute 6",54,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
799,between 0 & 200 DM,9,existing credits paid back duly till now,car (new),1549,unknown/no savings account,"less, than 1 year",4,male & single,none,2,real estate,35,none,own,1,unemployed/unskilled & non-resident,1,none,yes,good
800,no checking account,24,critical account/other credits existing (not at this bank),education,1597,"less, than 100 DM","more, than 7 years",4,male & single,none,4,unknown/no property,54,none,for free,2,skilled employee/official,2,none,yes,good
801,between 0 & 200 DM,18,critical account/other credits existing (not at this bank),radio/television,1795,"less, than 100 DM","more, than 7 years",3,female & divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled & resident,1,"yes, registered under the customers name",yes,good
802,"less, than 0 DM",20,critical account/other credits existing (not at this bank),furniture/equipment,4272,"less, than 100 DM","more, than 7 years",1,female & divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,own,2,skilled employee/official,1,none,yes,good
803,no checking account,12,critical account/other credits existing (not at this bank),radio/television,976,unknown/no savings account,"more, than 7 years",4,male & single,none,4,"car or other, not in attribute 6",35,none,own,2,skilled employee/official,1,none,yes,good
804,between 0 & 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/no savings account,unemployed,1,female & divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/unskilled & non-resident,1,none,yes,good
805,"less, than 0 DM",36,existing credits paid back duly till now,car (new),9271,"less, than 100 DM",between 4 & 7 years,2,male & single,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
806,between 0 & 200 DM,6,existing credits paid back duly till now,radio/television,590,"less, than 100 DM","less, than 1 year",3,male & married/widowed,none,3,real estate,26,none,own,1,unskilled & resident,1,none,no,good
807,no checking account,12,critical account/other credits existing (not at this bank),radio/television,930,unknown/no savings account,"more, than 7 years",4,male & single,none,4,real estate,65,none,own,4,skilled employee/official,1,none,yes,good
808,between 0 & 200 DM,42,all credits at this bank paid back duly,car (used),9283,"less, than 100 DM",unemployed,1,male & single,none,2,unknown/no property,55,bank,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
809,between 0 & 200 DM,15,no credits taken/all credits paid back duly,car (new),1778,"less, than 100 DM","less, than 1 year",2,female & divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/unskilled & non-resident,1,none,yes,bad
810,between 0 & 200 DM,8,existing credits paid back duly till now,business,907,"less, than 100 DM","less, than 1 year",3,male & married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
811,between 0 & 200 DM,6,existing credits paid back duly till now,radio/television,484,"less, than 100 DM",between 4 & 7 years,3,male & married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled & resident,1,none,yes,good
812,"less, than 0 DM",36,critical account/other credits existing (not at this bank),car (used),9629,"less, than 100 DM",between 4 & 7 years,4,male & single,none,4,"car or other, not in attribute 6",24,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,bad
813,"less, than 0 DM",48,existing credits paid back duly till now,domestic appliances,3051,"less, than 100 DM",between 1 & 4 years,3,male & single,none,4,"car or other, not in attribute 6",54,none,own,1,skilled employee/official,1,none,yes,bad
814,"less, than 0 DM",48,existing credits paid back duly till now,car (new),3931,"less, than 100 DM",between 4 & 7 years,4,male & single,none,4,unknown/no property,46,none,for free,1,skilled employee/official,2,none,yes,bad
815,between 0 & 200 DM,36,delay in paying off in the past,car (new),7432,"less, than 100 DM",between 1 & 4 years,2,female & divorced/separated/married,none,2,building society savings agreement/life insurance,54,none,rent,1,skilled employee/official,1,none,yes,good
816,no checking account,6,existing credits paid back duly till now,domestic appliances,1338,between 500 & 1000 DM,between 1 & 4 years,1,male & divorced/separated,none,4,real estate,62,none,own,1,skilled employee/official,1,none,yes,good
817,no checking account,6,critical account/other credits existing (not at this bank),radio/television,1554,"less, than 100 DM",between 4 & 7 years,1,female & divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
818,"less, than 0 DM",36,existing credits paid back duly till now,others,15857,"less, than 100 DM",unemployed,2,male & divorced/separated,co-applicant,3,"car or other, not in attribute 6",43,none,own,1,management/self-employed/highly qualified employee/officer,1,none,yes,good
819,"less, than 0 DM",18,existing credits paid back duly till now,radio/television,1345,"less, than 100 DM",between 1 & 4 years,4,male & married/widowed,none,3,real estate,26,bank,own,1,skilled employee/official,1,none,yes,bad
820,no checking account,12,existing credits paid back duly till now,car (new),1101,"less, than 100 DM",between 1 & 4 years,3,male & married/widowed,none,2,real estate,27,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
821,"more, than 200 DM",12,existing credits paid back duly till now,radio/television,3016,"less, than 100 DM",between 1 & 4 years,3,male & married/widowed,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee/official,1,none,yes,good
822,"less, than 0 DM",36,existing credits paid back duly till now,furniture/equipment,2712,"less, than 100 DM","more, than 7 years",2,male & single,none,2,building society savings agreement/life insurance,41,bank,own,1,skilled employee/official,2,none,yes,bad
823,"less, than 0 DM",8,critical account/other credits existing (not at this bank),car (new),731,"less, than 100 DM","more, than 7 years",4,male & single,none,4,real estate,47,none,own,2,unskilled & resident,1,none,yes,good
824,no checking account,18,critical account/other credits existing (not at this bank),furniture/equipment,3780,"less, than 100 DM","less, than 1 year",3,male & divorced/separated,none,2,"car or other, not in attribute 6",35,none,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
825,"less, than 0 DM",21,critical account/other credits existing (not at this bank),car (new),1602,"less, than 100 DM","more, than 7 years",4,male & married/widowed,none,3,"car or other, not in attribute 6",30,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
826,"less, than 0 DM",18,critical account/other credits existing (not at this bank),car (new),3966,"less, than 100 DM","more, than 7 years",1,female & divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee/official,1,"yes, registered under the customers name",yes,bad
827,no checking account,18,no credits taken/all credits paid back duly,business,4165,"less, than 100 DM",between 1 & 4 years,2,male & single,none,2,"car or other, not in attribute 6",36,stores,own,2,skilled employee/official,2,none,yes,bad
828,"less, than 0 DM",36,existing credits paid back duly till now,car (used),8335,unknown/no savings account,"more, than 7 years",3,male & single,none,4,unknown/no property,47,none,for free,1,skilled employee/official,1,none,yes,bad
829,between 0 & 200 DM,48,delay in paying off in the past,business,6681,unknown/no savings account,between 1 & 4 years,4,male & single,none,4,unknown/no property,38,none,for free,1,skilled employee/official,2,"yes, registered under the customers name",yes,good
830,no checking account,24,delay in paying off in the past,business,2375,between 500 & 1000 DM,between 1 & 4 years,4,male & single,none,2,"car or other, not in attribute 6",44,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,good
831,"less, than 0 DM",18,existing credits paid back duly till now,car (new),1216,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,3,"car or other, not in attribute 6",23,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
832,"less, than 0 DM",45,no credits taken/all credits paid back duly,business,11816,"less, than 100 DM","more, than 7 years",2,male & single,none,4,"car or other, not in attribute 6",29,none,rent,2,skilled employee/official,1,none,yes,bad
833,between 0 & 200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/no savings account,"more, than 7 years",2,female & divorced/separated/married,none,4,"car or other, not in attribute 6",42,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
834,"more, than 200 DM",15,existing credits paid back duly till now,radio/television,2327,"less, than 100 DM","less, than 1 year",2,female & divorced/separated/married,none,3,real estate,25,none,own,1,unskilled & resident,1,none,yes,bad
835,"less, than 0 DM",12,no credits taken/all credits paid back duly,car (new),1082,"less, than 100 DM",between 1 & 4 years,4,male & single,none,4,"car or other, not in attribute 6",48,bank,own,2,skilled employee/official,1,none,yes,bad
836,no checking account,12,existing credits paid back duly till now,radio/television,886,unknown/no savings account,between 1 & 4 years,4,female & divorced/separated/married,none,2,"car or other, not in attribute 6",21,none,own,1,skilled employee/official,1,none,yes,good
837,no checking account,4,existing credits paid back duly till now,furniture/equipment,601,"less, than 100 DM","less, than 1 year",1,female & divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled & resident,2,none,yes,good
838,"less, than 0 DM",24,critical account/other credits existing (not at this bank),car (used),2957,"less, than 100 DM","more, than 7 years",4,male & single,none,4,building society savings agreement/life insurance,63,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
839,no checking account,24,critical account/other credits existing (not at this bank),radio/television,2611,"less, than 100 DM","more, than 7 years",4,male & married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee/official,1,none,yes,good
840,"less, than 0 DM",36,existing credits paid back duly till now,furniture/equipment,5179,"less, than 100 DM",between 4 & 7 years,4,male & single,none,2,building society savings agreement/life insurance,29,none,own,1,skilled employee/official,1,none,yes,bad
841,no checking account,21,delay in paying off in the past,car (used),2993,"less, than 100 DM",between 1 & 4 years,3,male & single,none,2,real estate,28,stores,own,2,unskilled & resident,1,none,yes,good
842,no checking account,18,existing credits paid back duly till now,repairs,1943,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee/official,1,none,yes,bad
843,no checking account,24,all credits at this bank paid back duly,business,1559,"less, than 100 DM",between 4 & 7 years,4,male & single,none,4,"car or other, not in attribute 6",50,bank,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
844,no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,"less, than 100 DM","more, than 7 years",4,male & single,none,4,building society savings agreement/life insurance,47,bank,own,3,skilled employee/official,2,"yes, registered under the customers name",yes,good
845,between 0 & 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/no savings account,between 4 & 7 years,2,male & single,none,3,"car or other, not in attribute 6",35,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
846,no checking account,18,existing credits paid back duly till now,car (new),6761,unknown/no savings account,between 1 & 4 years,2,male & single,none,4,"car or other, not in attribute 6",68,none,rent,2,skilled employee/official,1,none,yes,bad
847,no checking account,24,existing credits paid back duly till now,car (new),1249,"less, than 100 DM","less, than 1 year",4,male & married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,none,yes,good
848,"less, than 0 DM",9,existing credits paid back duly till now,radio/television,1364,"less, than 100 DM",between 4 & 7 years,3,male & single,none,4,real estate,59,none,own,1,skilled employee/official,1,none,yes,good
849,"less, than 0 DM",12,existing credits paid back duly till now,radio/television,709,"less, than 100 DM","more, than 7 years",4,male & single,none,4,real estate,57,stores,own,1,unskilled & resident,1,none,yes,bad
850,"less, than 0 DM",20,critical account/other credits existing (not at this bank),car (new),2235,"less, than 100 DM",between 1 & 4 years,4,male & married/widowed,guarantor,2,building society savings agreement/life insurance,33,bank,rent,2,skilled employee/official,1,none,no,bad
851,no checking account,24,critical account/other credits existing (not at this bank),car (used),4042,unknown/no savings account,between 4 & 7 years,3,male & single,none,4,building society savings agreement/life insurance,43,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
852,no checking account,15,critical account/other credits existing (not at this bank),radio/television,1471,"less, than 100 DM",between 1 & 4 years,4,male & single,none,4,unknown/no property,35,none,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
853,"less, than 0 DM",18,all credits at this bank paid back duly,car (new),1442,"less, than 100 DM",between 4 & 7 years,4,male & single,none,4,unknown/no property,32,none,for free,2,unskilled & resident,2,none,yes,bad
854,no checking account,36,delay in paying off in the past,car (new),10875,"less, than 100 DM","more, than 7 years",2,male & single,none,2,"car or other, not in attribute 6",45,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,good
855,no checking account,24,existing credits paid back duly till now,car (new),1474,between 100 & 500 DM,"less, than 1 year",4,male & married/widowed,none,3,real estate,33,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
856,no checking account,10,existing credits paid back duly till now,retraining,894,unknown/no savings account,between 4 & 7 years,4,female & divorced/separated/married,none,3,building society savings agreement/life insurance,40,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
857,no checking account,15,critical account/other credits existing (not at this bank),furniture/equipment,3343,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,unknown/no property,28,none,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
858,"less, than 0 DM",15,existing credits paid back duly till now,car (new),3959,"less, than 100 DM",between 1 & 4 years,3,female & divorced/separated/married,none,2,building society savings agreement/life insurance,29,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
859,no checking account,9,existing credits paid back duly till now,car (new),3577,between 100 & 500 DM,between 1 & 4 years,1,male & single,guarantor,2,real estate,26,none,rent,1,skilled employee/official,2,none,no,good
860,no checking account,24,critical account/other credits existing (not at this bank),car (used),5804,"more, than 1000 DM",between 1 & 4 years,4,male & single,none,2,real estate,27,none,own,2,skilled employee/official,1,none,yes,good
861,no checking account,18,delay in paying off in the past,business,2169,"less, than 100 DM",between 1 & 4 years,4,male & married/widowed,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
862,"less, than 0 DM",24,existing credits paid back duly till now,radio/television,2439,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
863,no checking account,27,critical account/other credits existing (not at this bank),furniture/equipment,4526,"more, than 1000 DM","less, than 1 year",4,male & single,none,2,real estate,32,stores,own,2,unskilled & resident,2,"yes, registered under the customers name",yes,good
864,no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,"less, than 100 DM",between 1 & 4 years,2,male & single,none,2,real estate,25,bank,rent,1,unskilled & resident,1,none,yes,bad
865,no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,between 500 & 1000 DM,between 1 & 4 years,2,female & divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee/official,1,none,yes,good
866,"less, than 0 DM",18,existing credits paid back duly till now,radio/television,2389,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,1,"car or other, not in attribute 6",27,stores,own,1,skilled employee/official,1,none,yes,good
867,no checking account,12,critical account/other credits existing (not at this bank),furniture/equipment,3331,"less, than 100 DM","more, than 7 years",2,male & single,none,4,building society savings agreement/life insurance,42,stores,own,1,skilled employee/official,1,none,yes,good
868,no checking account,36,existing credits paid back duly till now,business,7409,unknown/no savings account,"more, than 7 years",3,male & single,none,2,building society savings agreement/life insurance,37,none,own,2,skilled employee/official,1,none,yes,good
869,"less, than 0 DM",12,existing credits paid back duly till now,furniture/equipment,652,"less, than 100 DM","more, than 7 years",4,female & divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,none,yes,good
870,no checking account,36,delay in paying off in the past,furniture/equipment,7678,between 500 & 1000 DM,between 4 & 7 years,2,female & divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
871,"more, than 200 DM",6,critical account/other credits existing (not at this bank),car (new),1343,"less, than 100 DM","more, than 7 years",1,male & single,none,4,real estate,46,none,own,2,skilled employee/official,2,none,no,good
872,"less, than 0 DM",24,critical account/other credits existing (not at this bank),business,1382,between 100 & 500 DM,between 4 & 7 years,4,male & single,none,1,real estate,26,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
873,no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/no savings account,"less, than 1 year",4,female & divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee/official,1,none,yes,good
874,"less, than 0 DM",12,existing credits paid back duly till now,furniture/equipment,3590,"less, than 100 DM",between 1 & 4 years,2,male & single,co-applicant,2,building society savings agreement/life insurance,29,none,own,1,unskilled & resident,2,none,yes,good
875,between 0 & 200 DM,11,critical account/other credits existing (not at this bank),car (new),1322,"more, than 1000 DM",between 1 & 4 years,4,female & divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee/official,1,none,yes,good
876,"less, than 0 DM",18,all credits at this bank paid back duly,radio/television,1940,"less, than 100 DM","less, than 1 year",3,male & single,co-applicant,4,unknown/no property,36,bank,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
877,no checking account,36,existing credits paid back duly till now,radio/television,3595,"less, than 100 DM","more, than 7 years",4,male & single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,1,none,yes,good
878,"less, than 0 DM",9,existing credits paid back duly till now,car (new),1422,"less, than 100 DM","less, than 1 year",3,male & single,none,2,unknown/no property,27,none,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
879,no checking account,30,critical account/other credits existing (not at this bank),radio/television,6742,unknown/no savings account,between 4 & 7 years,2,male & single,none,3,building society savings agreement/life insurance,36,none,own,2,skilled employee/official,1,none,yes,good
880,no checking account,24,existing credits paid back duly till now,car (used),7814,"less, than 100 DM",between 4 & 7 years,3,male & single,none,3,"car or other, not in attribute 6",38,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
881,no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/no savings account,between 1 & 4 years,2,male & divorced/separated,none,4,unknown/no property,48,none,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
882,between 0 & 200 DM,30,critical account/other credits existing (not at this bank),car (new),2181,unknown/no savings account,"more, than 7 years",4,male & single,none,4,real estate,36,none,own,2,skilled employee/official,1,none,yes,good
883,no checking account,18,critical account/other credits existing (not at this bank),radio/television,1098,"less, than 100 DM",unemployed,4,female & divorced/separated/married,none,4,"car or other, not in attribute 6",65,none,own,2,unemployed/unskilled & non-resident,1,none,yes,good
884,between 0 & 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,"less, than 100 DM",between 4 & 7 years,3,male & divorced/separated,none,3,"car or other, not in attribute 6",43,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
885,"less, than 0 DM",12,existing credits paid back duly till now,education,795,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,4,building society savings agreement/life insurance,53,none,own,1,skilled employee/official,1,none,yes,bad
886,between 0 & 200 DM,24,critical account/other credits existing (not at this bank),business,2825,unknown/no savings account,between 4 & 7 years,4,male & single,none,3,unknown/no property,34,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,good
887,between 0 & 200 DM,48,existing credits paid back duly till now,business,15672,"less, than 100 DM",between 1 & 4 years,2,male & single,none,2,"car or other, not in attribute 6",23,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
888,no checking account,36,critical account/other credits existing (not at this bank),car (new),6614,"less, than 100 DM","more, than 7 years",4,male & single,none,4,"car or other, not in attribute 6",34,none,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
889,no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/no savings account,"less, than 1 year",3,male & single,guarantor,4,real estate,40,bank,rent,2,skilled employee/official,2,"yes, registered under the customers name",yes,good
890,"less, than 0 DM",27,critical account/other credits existing (not at this bank),business,2442,"less, than 100 DM","more, than 7 years",4,male & single,none,4,"car or other, not in attribute 6",43,stores,own,4,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,good
891,no checking account,15,critical account/other credits existing (not at this bank),radio/television,1829,"less, than 100 DM","more, than 7 years",4,male & single,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
